transaction_id,order_id,order_date,ship_date,ship_mode,order_priority,customer_id,customer_name,segment,product_id,product_name,category,sub_category,market,region,country,state,city,sales,profit,quantity,discount,shipping_cost
51,IN-2014-47337,2014-12-11,2014-12-15,"Standard Class",High,VB-217451,"Victoria Brennan",Corporate,FUR-CH-10003965,"Hon Rocking Chair, Red",Furniture,Chairs,APAC,"Central Asia",Afghanistan,Kabul,Kabul,914.00,356.58,7,0.00,106.41
49,IN-2014-47337,2014-12-11,2014-12-15,"Standard Class",High,VB-217451,"Victoria Brennan",Corporate,TEC-PH-10002806,"Apple Audio Dock, VoIP",Technology,Phones,APAC,"Central Asia",Afghanistan,Kabul,Kabul,501.00,115.20,3,0.00,79.59
16,IN-2014-47337,2014-12-11,2014-12-15,"Standard Class",High,VB-217451,"Victoria Brennan",Corporate,OFF-AR-10002800,"Binney & Smith Pencil Sharpener, Water Color","Office Supplies",Art,APAC,"Central Asia",Afghanistan,Kabul,Kabul,30.00,8.04,1,0.00,3.23
42,IN-2014-20415,2014-08-01,2014-08-05,"Standard Class",Medium,GM-144551,"Gary Mitchum","Home Office",FUR-BO-10002204,"Bush Classic Bookcase, Pine",Furniture,Bookcases,APAC,"Central Asia",Afghanistan,Kabul,Kabul,2070.00,848.70,5,0.00,185.01
17,IN-2014-20415,2014-08-01,2014-08-05,"Standard Class",Medium,GM-144551,"Gary Mitchum","Home Office",OFF-FA-10004027,"OIC Staples, Bulk Pack","Office Supplies",Fasteners,APAC,"Central Asia",Afghanistan,Kabul,Kabul,45.00,2.16,4,0.00,2.80
47,ID-2012-66055,2012-12-16,2012-12-20,"Standard Class",Medium,SS-201401,"Saphhira Shifley",Corporate,FUR-FU-10004780,"Deflect-O Frame, Duo Pack",Furniture,Furnishings,APAC,"Central Asia",Afghanistan,Kabul,Kabul,110.00,1.08,1,0.00,2.81
40,ID-2012-66055,2012-12-16,2012-12-20,"Standard Class",Medium,SS-201401,"Saphhira Shifley",Corporate,FUR-TA-10004892,"Chromcraft Wood Table, with Bottom Storage",Furniture,Tables,APAC,"Central Asia",Afghanistan,Kabul,Kabul,1448.00,564.48,3,0.00,73.63
18,ID-2012-66055,2012-12-16,2012-12-20,"Standard Class",Medium,SS-201401,"Saphhira Shifley",Corporate,OFF-SU-10002732,"Acme Box Cutter, High Speed","Office Supplies",Supplies,APAC,"Central Asia",Afghanistan,Kabul,Kabul,151.00,46.80,4,0.00,10.35
11,ID-2012-66055,2012-12-16,2012-12-20,"Standard Class",Medium,SS-201401,"Saphhira Shifley",Corporate,OFF-ST-10003907,"Rogers Shelving, Wire Frame","Office Supplies",Storage,APAC,"Central Asia",Afghanistan,Kabul,Kabul,122.00,35.46,2,0.00,14.18
37,IN-2011-55037,2011-04-05,2011-04-10,"Standard Class",Medium,TH-211151,"Thea Hudgings",Corporate,TEC-CO-10000679,"Hewlett Personal Copier, High-Speed",Technology,Copiers,APAC,"Central Asia",Afghanistan,Nangarhar,Jalalabad,712.00,7.05,5,0.00,49.27
26,IN-2011-55037,2011-04-05,2011-04-10,"Standard Class",Medium,TH-211151,"Thea Hudgings",Corporate,OFF-BI-10000871,"Wilson Jones Binder Covers, Recycled","Office Supplies",Binders,APAC,"Central Asia",Afghanistan,Nangarhar,Jalalabad,127.00,39.27,11,0.00,5.20
24,IN-2011-55037,2011-04-05,2011-04-10,"Standard Class",Medium,TH-211151,"Thea Hudgings",Corporate,OFF-AR-10002340,"Stanley Markers, Water Color","Office Supplies",Art,APAC,"Central Asia",Afghanistan,Nangarhar,Jalalabad,76.00,14.40,3,0.00,4.54
21,IN-2011-55037,2011-04-05,2011-04-10,"Standard Class",Medium,TH-211151,"Thea Hudgings",Corporate,OFF-LA-10000219,"Harbour Creations File Folder Labels, Adjustable","Office Supplies",Labels,APAC,"Central Asia",Afghanistan,Nangarhar,Jalalabad,13.00,1.14,2,0.00,1.14
19,IN-2011-55037,2011-04-05,2011-04-10,"Standard Class",Medium,TH-211151,"Thea Hudgings",Corporate,OFF-EN-10003498,"Cameo Interoffice Envelope, Recycled","Office Supplies",Envelopes,APAC,"Central Asia",Afghanistan,Nangarhar,Jalalabad,231.00,85.50,5,0.00,26.95
22,IN-2014-18791,2014-06-18,2014-06-22,"Standard Class",Medium,TS-212051,"Thomas Seio",Corporate,OFF-LA-10000108,"Harbour Creations Color Coded Labels, Laser Printer Compatible","Office Supplies",Labels,APAC,"Central Asia",Afghanistan,Kabul,Kabul,65.00,22.50,5,0.00,4.51
20,IN-2014-18791,2014-06-18,2014-06-22,"Standard Class",Medium,TS-212051,"Thomas Seio",Corporate,OFF-EN-10003715,"Kraft Manila Envelope, Set of 50","Office Supplies",Envelopes,APAC,"Central Asia",Afghanistan,Kabul,Kabul,79.00,9.45,3,0.00,4.94
23,IN-2014-79775,2014-10-30,2014-11-05,"Standard Class",Medium,LW-168251,"Laurel Workman",Corporate,OFF-PA-10001968,"Eaton Computer Printout Paper, 8.5 x 11","Office Supplies",Paper,APAC,"Central Asia",Afghanistan,Kandahar,Kandahar,123.00,42.96,4,0.00,6.49
25,IN-2011-66678,2011-07-30,2011-08-04,"Standard Class",Medium,DL-134951,"Dionis Lloyd",Corporate,OFF-AR-10003962,"Binney & Smith Highlighters, Water Color","Office Supplies",Art,APAC,"Central Asia",Afghanistan,Kabul,Kabul,178.00,76.41,9,0.00,11.00
35,IN-2012-38958,2012-06-05,2012-06-10,"Standard Class",Medium,DW-131951,"David Wiener",Corporate,TEC-PH-10004281,"Samsung Audio Dock, Cordless",Technology,Phones,APAC,"Central Asia",Afghanistan,Kabul,Kabul,848.00,364.80,5,0.00,33.88
29,IN-2012-38958,2012-06-05,2012-06-10,"Standard Class",Medium,DW-131951,"David Wiener",Corporate,OFF-BI-10000777,"Ibico Binder Covers, Clear","Office Supplies",Binders,APAC,"Central Asia",Afghanistan,Kabul,Kabul,79.00,15.66,6,0.00,6.58
28,IN-2012-38958,2012-06-05,2012-06-10,"Standard Class",Medium,DW-131951,"David Wiener",Corporate,OFF-BI-10003159,"Avery Binding Machine, Durable","Office Supplies",Binders,APAC,"Central Asia",Afghanistan,Kabul,Kabul,252.00,52.80,5,0.00,9.56
27,IN-2012-38958,2012-06-05,2012-06-10,"Standard Class",Medium,DW-131951,"David Wiener",Corporate,OFF-BI-10002335,"Avery Binder Covers, Durable","Office Supplies",Binders,APAC,"Central Asia",Afghanistan,Kabul,Kabul,38.00,0.72,3,0.00,4.22
46,IN-2013-35822,2013-09-24,2013-09-28,"Standard Class",Medium,LO-171701,"Lori Olson",Corporate,FUR-FU-10004464,"Deflect-O Clock, Durable",Furniture,Furnishings,APAC,"Central Asia",Afghanistan,Kabul,Kabul,95.00,1.86,2,0.00,3.05
36,IN-2013-35822,2013-09-24,2013-09-28,"Standard Class",Medium,LO-171701,"Lori Olson",Corporate,TEC-PH-10004554,"Samsung Audio Dock, VoIP",Technology,Phones,APAC,"Central Asia",Afghanistan,Kabul,Kabul,1168.00,443.94,7,0.00,92.34
30,IN-2013-35822,2013-09-24,2013-09-28,"Standard Class",Medium,LO-171701,"Lori Olson",Corporate,OFF-BI-10000206,"Wilson Jones Binder Covers, Economy","Office Supplies",Binders,APAC,"Central Asia",Afghanistan,Kabul,Kabul,34.00,13.41,3,0.00,3.15
31,IN-2013-45720,2013-09-23,2013-09-27,"Standard Class",Medium,JM-156551,"Jim Mitchum",Corporate,OFF-BI-10002907,"Wilson Jones 3-Hole Punch, Economy","Office Supplies",Binders,APAC,"Central Asia",Afghanistan,Kabul,Kabul,56.00,7.80,2,0.00,5.11
43,IN-2013-27156,2013-09-19,2013-09-24,"Standard Class",Medium,VW-217751,"Victoria Wilson",Corporate,FUR-FU-10002459,"Rubbermaid Door Stop, Duo Pack",Furniture,Furnishings,APAC,"Central Asia",Afghanistan,Kandahar,Kandahar,132.00,15.75,3,0.00,9.39
32,IN-2013-27156,2013-09-19,2013-09-24,"Standard Class",Medium,VW-217751,"Victoria Wilson",Corporate,TEC-AC-10004334,"Logitech Router, Erganomic",Technology,Accessories,APAC,"Central Asia",Afghanistan,Kandahar,Kandahar,1471.00,514.62,6,0.00,70.16
33,IN-2014-79698,2014-09-02,2014-09-06,"Standard Class",Medium,EH-139451,"Eric Hoffmann",Consumer,TEC-AC-10003407,"Memorex Mouse, Erganomic",Technology,Accessories,APAC,"Central Asia",Afghanistan,Kabul,Kabul,156.00,21.78,6,0.00,10.20
34,IN-2013-10622,2013-12-24,2013-12-29,"Standard Class",Medium,KH-166901,"Kristen Hastings",Corporate,TEC-AC-10003416,"Memorex Mouse, USB",Technology,Accessories,APAC,"Central Asia",Afghanistan,Kandahar,Kandahar,142.00,4.20,5,0.00,4.37
44,IN-2014-29767,2014-03-22,2014-03-29,"Standard Class",Medium,CA-120551,"Cathy Armstrong","Home Office",FUR-FU-10004064,"Rubbermaid Door Stop, Erganomic",Furniture,Furnishings,APAC,"Central Asia",Afghanistan,Hirat,Herat,170.00,79.68,4,0.00,11.01
41,IN-2014-29767,2014-03-22,2014-03-29,"Standard Class",Medium,CA-120551,"Cathy Armstrong","Home Office",FUR-BO-10001255,"Ikea Library with Doors, Mobile",Furniture,Bookcases,APAC,"Central Asia",Afghanistan,Hirat,Herat,732.00,102.42,2,0.00,39.66
39,IN-2014-29767,2014-03-22,2014-03-29,"Standard Class",Medium,CA-120551,"Cathy Armstrong","Home Office",TEC-MA-10001726,"Epson Receipt Printer, White",Technology,Machines,APAC,"Central Asia",Afghanistan,Hirat,Herat,346.00,13.77,3,0.00,14.10
48,IN-2014-72985,2014-12-23,2014-12-28,"Standard Class",High,TS-213401,"Toby Swindell",Consumer,TEC-AC-10003861,"Enermax Keyboard, Erganomic",Technology,Accessories,APAC,"Central Asia",Afghanistan,Kabul,Kabul,163.00,17.82,2,0.00,21.05
50,IN-2013-32917,2013-11-27,2013-12-01,"Standard Class",High,AH-105851,"Angele Hood",Consumer,FUR-CH-10002940,"Harbour Creations Chairmat, Black",Furniture,Chairs,APAC,"Central Asia",Afghanistan,Kabul,Kabul,417.00,45.90,6,0.00,58.04
53,ID-2012-28402,2012-04-19,2012-04-22,"First Class",High,AJ-107801,"Anthony Jacobs",Corporate,FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",Furniture,Tables,APAC,"Central Asia",Afghanistan,Kabul,Kabul,4626.00,647.55,5,0.00,835.57
55,IN-2011-38895,2011-12-01,2011-12-04,"First Class",Critical,AH-105851,"Angele Hood",Consumer,FUR-FU-10000666,"Rubbermaid Frame, Black",Furniture,Furnishings,APAC,"Central Asia",Afghanistan,Kabul,Kabul,220.00,59.34,2,0.00,36.24
57,AL-2011-9500,2011-11-08,2011-11-11,"Second Class",High,MC-81302,"Mike Caudle",Corporate,OFF-HAR-10004816,"Harbour Creations Shipping Labels, Alphabetical","Office Supplies",Labels,EMEA,EMEA,Albania,Vlorë,Vlore,11.00,2.01,1,0.00,0.91
62,AL-2014-8450,2014-03-10,2014-03-12,"Second Class",High,JB-59252,"Joni Blumstein",Consumer,OFF-BOS-10001576,"Boston Pencil Sharpener, Fluorescent","Office Supplies",Art,EMEA,EMEA,Albania,Shkodër,Shkoder,174.00,24.30,6,0.00,28.56
61,AL-2014-8450,2014-03-10,2014-03-12,"Second Class",High,JB-59252,"Joni Blumstein",Consumer,OFF-FEL-10001343,"Fellowes Box, Wire Frame","Office Supplies",Storage,EMEA,EMEA,Albania,Shkodër,Shkoder,19.00,8.61,1,0.00,2.72
60,AL-2014-8450,2014-03-10,2014-03-12,"Second Class",High,JB-59252,"Joni Blumstein",Consumer,OFF-TEN-10001031,"Tenex Shelving, Single Width","Office Supplies",Storage,EMEA,EMEA,Albania,Shkodër,Shkoder,219.00,54.60,4,0.00,16.94
72,AL-2012-8670,2012-04-24,2012-04-30,"Standard Class",Medium,ML-73952,"Marina Lichtenstein",Corporate,FUR-DAN-10001622,"Dania Library with Doors, Pine",Furniture,Bookcases,EMEA,EMEA,Albania,Vlorë,Vlore,364.00,39.99,1,0.00,33.38
70,AL-2012-8670,2012-04-24,2012-04-30,"Standard Class",Medium,ML-73952,"Marina Lichtenstein",Corporate,OFF-WIL-10003774,"Wilson Jones Index Tab, Economy","Office Supplies",Binders,EMEA,EMEA,Albania,Vlorë,Vlore,6.00,1.65,1,0.00,0.37
65,AL-2012-8670,2012-04-24,2012-04-30,"Standard Class",Medium,ML-73952,"Marina Lichtenstein",Corporate,OFF-FEL-10002837,"Fellowes Folders, Single Width","Office Supplies",Storage,EMEA,EMEA,Albania,Vlorë,Vlore,106.00,43.32,4,0.00,6.73
69,AL-2011-4500,2011-11-01,2011-11-05,"Standard Class",Medium,EM-38253,"Elizabeth Moffitt",Corporate,OFF-AVE-10002892,"Avery 3-Hole Punch, Recycled","Office Supplies",Binders,EMEA,EMEA,Albania,Korçë,Korce,28.00,0.00,1,0.00,1.94
68,AL-2011-4500,2011-11-01,2011-11-05,"Standard Class",Medium,EM-38253,"Elizabeth Moffitt",Corporate,OFF-SAN-10002441,"Sanford Highlighters, Blue","Office Supplies",Art,EMEA,EMEA,Albania,Korçë,Korce,16.00,1.71,1,0.00,1.64
66,AL-2011-4500,2011-11-01,2011-11-05,"Standard Class",Medium,EM-38253,"Elizabeth Moffitt",Corporate,OFF-BIN-10004569,"Binney & Smith Highlighters, Blue","Office Supplies",Art,EMEA,EMEA,Albania,Korçë,Korce,33.00,4.92,2,0.00,1.96
71,AL-2013-7420,2013-12-20,2013-12-25,"Standard Class",Medium,NC-85352,"Nick Crebassa",Corporate,TEC-OKI-10000592,"Okidata Phone, White",Technology,Machines,EMEA,EMEA,Albania,Vlorë,Vlore,85.00,0.84,1,0.00,4.06
74,AL-2012-9980,2012-07-28,2012-08-02,"Standard Class",Medium,JD-60152,"Joy Daniels",Consumer,FUR-BUS-10001243,"Bush Classic Bookcase, Pine",Furniture,Bookcases,EMEA,EMEA,Albania,Vlorë,Vlore,414.00,202.86,1,0.00,26.48
75,AL-2012-9220,2012-04-19,2012-04-24,"Standard Class",Medium,JD-58953,"Jonathan Doherty",Corporate,FUR-ELD-10002511,"Eldon Photo Frame, Duo Pack",Furniture,Furnishings,EMEA,EMEA,Albania,Durrës,Durres,58.00,3.48,1,0.00,5.35
76,AL-2013-7280,2013-04-20,2013-04-20,"Same Day",Critical,GA-45152,"George Ashbrook",Consumer,TEC-CIS-10002598,"Cisco Audio Dock, with Caller ID",Technology,Phones,EMEA,EMEA,Albania,Shkodër,Shkoder,182.00,40.05,1,0.00,59.24
78,AL-2013-3830,2013-08-12,2013-08-14,"First Class",Critical,TT-114602,"Tonja Turnell","Home Office",TEC-CIS-10000436,"Cisco Speaker Phone, with Caller ID",Technology,Phones,EMEA,EMEA,Albania,Durrës,Durres,554.00,22.08,4,0.00,206.56
79,AL-2011-7440,2011-03-03,2011-03-05,"Second Class",High,SC-102302,"Scot Coram",Corporate,TEC-STA-10002497,"StarTech Card Printer, White",Technology,Machines,EMEA,EMEA,Albania,Elbasan,Elbasan,1619.00,258.90,10,0.00,301.73
279,AG-2013-4150,2013-07-18,2013-07-21,"Second Class",High,DB-32701,"Deborah Brumfield","Home Office",TEC-BEL-10002106,"Belkin Memory Card, Bluetooth",Technology,Accessories,Africa,Africa,Algeria,Annaba,Annaba,459.00,100.92,4,0.00,71.81
90,AG-2013-4150,2013-07-18,2013-07-21,"Second Class",High,DB-32701,"Deborah Brumfield","Home Office",OFF-EAT-10001303,"Eaton Message Books, Premium","Office Supplies",Paper,Africa,Africa,Algeria,Annaba,Annaba,41.00,19.32,2,0.00,8.44
83,AG-2013-4150,2013-07-18,2013-07-21,"Second Class",High,DB-32701,"Deborah Brumfield","Home Office",OFF-TEN-10001129,"Tenex Shelving, Blue","Office Supplies",Storage,Africa,Africa,Algeria,Annaba,Annaba,55.00,2.73,1,0.00,8.37
82,AG-2013-4150,2013-07-18,2013-07-21,"Second Class",High,DB-32701,"Deborah Brumfield","Home Office",OFF-ROG-10000566,"Rogers Trays, Single Width","Office Supplies",Storage,Africa,Africa,Algeria,Annaba,Annaba,62.00,4.29,1,0.00,10.80
80,AG-2013-4150,2013-07-18,2013-07-21,"Second Class",High,DB-32701,"Deborah Brumfield","Home Office",OFF-STA-10004885,"Stanley Sketch Pad, Easy-Erase","Office Supplies",Art,Africa,Africa,Algeria,Annaba,Annaba,45.00,8.49,1,0.00,8.30
270,AG-2014-8390,2014-05-27,2014-05-30,"Second Class",Critical,CR-28201,"Cyra Reiten","Home Office",TEC-CIS-10003017,"Cisco Signal Booster, with Caller ID",Technology,Phones,Africa,Africa,Algeria,Constantine,Constantine,152.00,37.95,1,0.00,41.85
84,AG-2014-8390,2014-05-27,2014-05-30,"Second Class",Critical,CR-28201,"Cyra Reiten","Home Office",OFF-AME-10000851,"Ames Mailers, with clear poly window","Office Supplies",Envelopes,Africa,Africa,Algeria,Constantine,Constantine,39.00,19.29,1,0.00,10.58
86,AG-2014-2830,2014-08-01,2014-08-04,"Second Class",Medium,MO-78001,"Meg O'Connel","Home Office",OFF-BOS-10003699,"Boston Sketch Pad, Fluorescent","Office Supplies",Art,Africa,Africa,Algeria,"Sidi Bel Abbes","Sidi Bel Abbes",50.00,0.00,1,0.00,5.84
85,AG-2014-2830,2014-08-01,2014-08-04,"Second Class",Medium,MO-78001,"Meg O'Connel","Home Office",OFF-BRE-10004073,"Breville Refrigerator, Red","Office Supplies",Appliances,Africa,Africa,Algeria,"Sidi Bel Abbes","Sidi Bel Abbes",519.00,98.67,1,0.00,25.75
277,AG-2014-2600,2014-11-18,2014-11-20,"Second Class",Medium,DR-29401,"Daniel Raglin","Home Office",TEC-STA-10000699,"StarTech Phone, Red",Technology,Machines,Africa,Africa,Algeria,Alger,Algiers,143.00,58.74,2,0.00,1.88
261,AG-2014-2600,2014-11-18,2014-11-20,"Second Class",Medium,DR-29401,"Daniel Raglin","Home Office",FUR-IKE-10003642,"Ikea 3-Shelf Cabinet, Pine",Furniture,Bookcases,Africa,Africa,Algeria,Alger,Algiers,288.00,8.58,2,0.00,19.63
89,AG-2014-2600,2014-11-18,2014-11-20,"Second Class",Medium,DR-29401,"Daniel Raglin","Home Office",OFF-STA-10000298,"Stanley Canvas, Blue","Office Supplies",Art,Africa,Africa,Algeria,Alger,Algiers,99.00,15.78,2,0.00,6.73
87,AG-2014-2600,2014-11-18,2014-11-20,"Second Class",Medium,DR-29401,"Daniel Raglin","Home Office",OFF-SAN-10001326,"SanDisk Note Cards, 8.5 x 11","Office Supplies",Paper,Africa,Africa,Algeria,Alger,Algiers,30.00,7.71,1,0.00,3.30
88,AG-2014-3510,2014-11-06,2014-11-07,"First Class",High,CR-28201,"Cyra Reiten","Home Office",OFF-KRA-10001967,"Kraft Business Envelopes, Set of 50","Office Supplies",Envelopes,Africa,Africa,Algeria,Bechar,Bechar,40.00,19.14,2,0.00,6.30
223,AG-2013-5820,2013-11-05,2013-11-08,"First Class",Medium,ES-40801,"Erin Smith",Corporate,TEC-LOG-10001750,"Logitech Mouse, USB",Technology,Accessories,Africa,Africa,Algeria,Annaba,Annaba,29.00,3.81,1,0.00,1.67
105,AG-2013-5820,2013-11-05,2013-11-08,"First Class",Medium,ES-40801,"Erin Smith",Corporate,OFF-XER-10003901,"Xerox Computer Printout Paper, 8.5 x 11","Office Supplies",Paper,Africa,Africa,Algeria,Annaba,Annaba,61.00,5.46,2,0.00,7.42
92,AG-2013-5820,2013-11-05,2013-11-08,"First Class",Medium,ES-40801,"Erin Smith",Corporate,OFF-SME-10004754,"Smead Round Labels, Adjustable","Office Supplies",Labels,Africa,Africa,Algeria,Annaba,Annaba,19.00,5.76,4,0.00,1.08
91,AG-2013-5820,2013-11-05,2013-11-08,"First Class",Medium,ES-40801,"Erin Smith",Corporate,OFF-STO-10002449,"Stockwell Rubber Bands, 12 Pack","Office Supplies",Fasteners,Africa,Africa,Algeria,Annaba,Annaba,64.00,6.36,4,0.00,11.02
278,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,TEC-OKI-10003124,"Okidata Inkjet, Wireless",Technology,Machines,Africa,Africa,Algeria,Oran,Oran,314.00,131.91,1,0.00,33.55
268,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,TEC-CIS-10001877,"Cisco Office Telephone, with Caller ID",Technology,Phones,Africa,Africa,Algeria,Oran,Oran,322.00,41.76,4,0.00,22.95
260,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,FUR-BUS-10001187,"Bush Classic Bookcase, Metal",Furniture,Bookcases,Africa,Africa,Algeria,Oran,Oran,824.00,280.20,2,0.00,90.77
102,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,OFF-XER-10004519,"Xerox Cards & Envelopes, Multicolor","Office Supplies",Paper,Africa,Africa,Algeria,Oran,Oran,46.00,4.62,1,0.00,6.13
101,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,OFF-CAR-10004661,"Cardinal Binding Machine, Recycled","Office Supplies",Binders,Africa,Africa,Algeria,Oran,Oran,50.00,10.50,1,0.00,4.08
100,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,OFF-STA-10001791,"Stanley Highlighters, Water Color","Office Supplies",Art,Africa,Africa,Algeria,Oran,Oran,18.00,6.06,1,0.00,1.36
99,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,OFF-CUI-10002413,"Cuisinart Coffee Grinder, Black","Office Supplies",Appliances,Africa,Africa,Algeria,Oran,Oran,38.00,17.49,1,0.00,4.86
95,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,OFF-XER-10000846,"Xerox Cards & Envelopes, 8.5 x 11","Office Supplies",Paper,Africa,Africa,Algeria,Oran,Oran,589.00,93.96,12,0.00,59.19
94,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,OFF-ACC-10004538,"Acco Binder Covers, Recycled","Office Supplies",Binders,Africa,Africa,Algeria,Oran,Oran,109.00,32.64,8,0.00,13.80
59,AG-2012-4630,2012-05-28,2012-05-30,"Second Class",Medium,CP-23401,"Christine Phan",Corporate,OFF-TEN-10001031,"Tenex Shelving, Single Width","Office Supplies",Storage,Africa,Africa,Algeria,Oran,Oran,55.00,13.65,1,0.00,5.89
